node_aa,grid_id,chi_hat,l_r_hat,l_f_hat
1,sq_10_16,1.0000464155125217,1.0000789805418726,1.0000913625998065
2,sq_10_17,1.0000464155125217,1.000078980541872,1.0000913625998062
3,sq_10_18,1.0000464155125217,1.0000789805418713,1.000091362599807
4,sq_10_19,1.0000464155125217,1.0000789805418717,1.000091362599807
5,sq_10_20,1.0000464155125217,1.0000789805418722,1.0000913625998074
6,sq_10_21,1.0000464155125217,1.000078980541872,1.0000913625998071
7,sq_10_22,1.0000464155125217,1.000078980541873,1.000091362599806
8,sq_10_23,1.0000464155125217,1.000078980541872,1.0000913625998062
9,sq_10_24,1.0000464155125217,1.000078980541872,1.0000913625998078
10,sq_10_25,1.0000464155125217,1.0000789805418722,1.0000913625998065
11,sq_10_26,1.0000464155125217,1.0000789805418715,1.0000913625998067
12,sq_10_27,1.0000464155125217,1.0000789805418726,1.0000913625998067
13,sq_10_28,1.0000464155125217,1.0000794255645948,1.0000914924493203
14,sq_10_29,1.0000464155125217,1.0000800313676483,1.000092549722248
15,sq_10_30,1.0000464155125217,1.000079903251645,1.0000913405061316
16,sq_10_31,1.0000464155125217,1.0000791701002507,1.0000915960752472
17,sq_10_32,1.0000464155125217,1.0000789805418722,1.0000913625998065
18,sq_10_33,1.0000464155125217,1.0000790720852593,1.000091511529466
19,sq_10_34,1.0000464155125217,1.0000793458879622,1.000091328896697
20,sq_10_35,1.0000464155125217,1.0003926129230503,0.9998806514538165
21,sq_10_36,1.0000464155125217,1.0220544414726858,0.9788591509601605
22,sq_10_37,1.0000464155125217,1.000252447970423,0.9999800989516239
23,sq_10_39,1.0000464155125217,1.000089248090905,1.0000879891689138
24,sq_10_40,1.0000464155125217,1.0000802895143739,1.0000920339019237
25,sq_10_41,1.0000464155125217,1.000081163480942,1.0000914453756458
26,sq_10_42,1.0000464155125217,1.000079715386796,1.0000915585667425
27,sq_10_43,1.0000464155125217,1.0000803498067619,1.0000918242229506
28,sq_10_44,1.0000464155125217,1.0000789805418724,1.0000913625998067
29,sq_10_45,1.0000464155125217,1.0000791701758405,1.0000914073250917
30,sq_10_46,1.0000464155125217,1.0000793269031254,1.000091550843323
31,sq_10_47,1.0000464155125217,1.0000792129301186,1.0000918559852927
32,sq_10_48,1.0000464155125217,1.0000942374815167,1.0000860385510095
33,sq_10_50,1.0000464155125217,1.000076520848055,1.0000936227172732
34,sq_10_51,1.0000464155125217,0.9996454962138965,1.000391590195042
35,sq_11_18,1.0000464155125217,1.000078972910894,1.0000928441391368
36,sq_11_19,1.0000464155125217,1.0000791453729165,1.0000914458371493
37,sq_11_20,1.0000464155125217,1.0000789805418722,1.0000913625998065
38,sq_11_21,1.0000464155125217,1.000079005027038,1.00009142940103
39,sq_11_22,1.0000464155125217,1.0000789805418726,1.0000913625998062
40,sq_11_23,1.0000464155125217,1.000079179371952,1.00009136456852
41,sq_11_24,1.0000464155125217,1.0000791690577113,1.0000914868896458
42,sq_11_25,1.0000464155125217,1.0000792846544921,1.000091540618869
43,sq_11_26,1.0000464155125217,1.0000790860640236,1.0000917032952796
44,sq_11_27,1.0000464155125217,1.0000799556699007,1.0000914459038295
45,sq_11_29,1.0000464155125217,1.0000798749705384,1.0000917059803591
46,sq_11_30,1.0000464155125217,1.0000802036513192,1.000091283952246
47,sq_11_31,1.0000464155125217,1.0000789584249496,1.0000919910092305
48,sq_11_32,1.0000464155125217,1.0000788474937965,1.000091714505847
49,sq_11_33,1.0000464155125217,1.0000789805418724,1.0000913625998062
50,sq_11_35,1.0000464155125217,1.0000789805418715,1.000091362599807
51,sq_11_36,1.0000464155125217,1.0000791037088714,1.0000913871757098
52,sq_11_37,1.0000464155125217,1.0000792910000864,1.0000913039107273
53,sq_11_38,1.0000464155125217,1.000078980541872,1.0000913625998062
54,sq_11_39,1.0000464155125217,1.000078980541872,1.0000913625998062
55,sq_11_40,1.0000464155125217,1.0000789805418722,1.0000913625998067
56,sq_11_41,1.0000464155125217,1.0000789805418722,1.0000913625998067
57,sq_11_42,1.0000464155125217,1.0000789805418724,1.0000913625998062
58,sq_11_43,1.0000464155125217,1.0000789805418722,1.000091362599806
59,sq_11_44,1.0000464155125217,1.0000789805418715,1.000091362599807
